index,StockID,Year,Divident
228,00634R,2013,0.0
229,00634R,2014,0.0
230,00634R,2015,0.0
231,00634R,2016,0.0
232,00634R,2017,0.0
233,00634R,2018,0.0
234,00634R,2019,0.0
235,00634R,2020,0.0
236,00634R,2021,0.0
237,00634R,2022,0.0
238,00634R,2023,0.0
239,00634R,2024,0.0
240,00635U,2013,0.0
241,00635U,2014,0.0
242,00635U,2015,0.0
243,00635U,2016,0.0
244,00635U,2017,0.0
245,00635U,2018,0.0
246,00635U,2019,0.0
247,00635U,2020,0.0
248,00635U,2021,0.0
249,00635U,2022,0.0
250,00635U,2023,0.0
251,00635U,2024,0.0
252,00636,2013,0.0
253,00636,2014,0.0
254,00636,2015,0.0
255,00636,2016,0.0
256,00636,2017,0.0
257,00636,2018,0.0
258,00636,2019,0.0
259,00636,2020,0.0
260,00636,2021,0.0
261,00636,2022,0.0
262,00636,2023,0.0
263,00636,2024,0.0
264,00636K,2013,0.0
265,00636K,2014,0.0
266,00636K,2015,0.0
267,00636K,2016,0.0
268,00636K,2017,0.0
269,00636K,2018,0.0
270,00636K,2019,0.0
271,00636K,2020,0.0
272,00636K,2021,0.0
273,00636K,2022,0.0
274,00636K,2023,0.0
275,00636K,2024,0.0
276,00637L,2013,0.0
277,00637L,2014,0.0
278,00637L,2015,0.0
279,00637L,2016,0.0
280,00637L,2017,0.0
281,00637L,2018,0.0
282,00637L,2019,0.0
283,00637L,2020,0.0
284,00637L,2021,0.0
285,00637L,2022,0.0
286,00637L,2023,0.0
287,00637L,2024,0.0
288,00638R,2013,0.0
289,00638R,2014,0.0
290,00638R,2015,0.0
291,00638R,2016,0.0
292,00638R,2017,0.0
293,00638R,2018,0.0
294,00638R,2019,0.0
295,00638R,2020,0.0
296,00638R,2021,0.0
297,00638R,2022,0.0
298,00638R,2023,0.0
299,00638R,2024,0.0
300,00639,2013,0.0
301,00639,2014,0.0
302,00639,2015,0.0
303,00639,2016,0.0
304,00639,2017,0.0
305,00639,2018,0.0
306,00639,2019,0.0
307,00639,2020,0.0
308,00639,2021,0.0
309,00639,2022,0.0
310,00639,2023,0.0
311,00639,2024,0.0
312,00640L,2013,0.0
313,00640L,2014,0.0
314,00640L,2015,0.0
315,00640L,2016,0.0
316,00640L,2017,0.0
317,00640L,2018,0.0
318,00640L,2019,0.0
319,00640L,2020,0.0
320,00640L,2021,0.0
321,00640L,2022,0.0
322,00640L,2023,0.0
323,00640L,2024,0.0
324,00641R,2013,0.0
325,00641R,2014,0.0
326,00641R,2015,0.0
327,00641R,2016,0.0
328,00641R,2017,0.0
329,00641R,2018,0.0
330,00641R,2019,0.0
331,00641R,2020,0.0
332,00641R,2021,0.0
333,00641R,2022,0.0
334,00641R,2023,0.0
335,00641R,2024,0.0
336,00642U,2013,0.0
337,00642U,2014,0.0
338,00642U,2015,0.0
339,00642U,2016,0.0
340,00642U,2017,0.0
341,00642U,2018,0.0
342,00642U,2019,0.0
343,00642U,2020,0.0
344,00642U,2021,0.0
345,00642U,2022,0.0
346,00642U,2023,0.0
347,00642U,2024,0.0
348,00643,2013,0.0
349,00643,2014,0.0
350,00643,2015,0.0
351,00643,2016,0.0
352,00643,2017,0.0
353,00643,2018,0.0
354,00643,2019,0.0
355,00643,2020,0.0
356,00643,2021,0.0
357,00643,2022,0.0
358,00643,2023,0.0
359,00643,2024,0.0
360,00643K,2013,0.0
361,00643K,2014,0.0
362,00643K,2015,0.0
363,00643K,2016,0.0
364,00643K,2017,0.0
365,00643K,2018,0.0
366,00643K,2019,0.0
367,00643K,2020,0.0
368,00643K,2021,0.0
369,00643K,2022,0.0
370,00643K,2023,0.0
371,00643K,2024,0.0
372,00645,2013,0.0
373,00645,2014,0.0
374,00645,2015,0.0
375,00645,2016,0.0
376,00645,2017,0.0
377,00645,2018,0.0
378,00645,2019,0.0
379,00645,2020,0.0
380,00645,2021,0.0
381,00645,2022,0.0
382,00645,2023,0.0
383,00645,2024,0.0
384,00646,2013,0.0
385,00646,2014,0.0
386,00646,2015,0.0
387,00646,2016,0.0
388,00646,2017,0.0
389,00646,2018,0.0
390,00646,2019,0.0
391,00646,2020,0.0
392,00646,2021,0.0
393,00646,2022,0.0
394,00646,2023,0.0
395,00646,2024,0.0
396,00647L,2013,0.0
397,00647L,2014,0.0
398,00647L,2015,0.0
399,00647L,2016,0.0
400,00647L,2017,0.0
401,00647L,2018,0.0
402,00647L,2019,0.0
403,00647L,2020,0.0
404,00647L,2021,0.0
405,00647L,2022,0.0
406,00647L,2023,0.0
407,00647L,2024,0.0
408,00648R,2013,0.0
409,00648R,2014,0.0
410,00648R,2015,0.0
411,00648R,2016,0.0
412,00648R,2017,0.0
413,00648R,2018,0.0
414,00648R,2019,0.0
415,00648R,2020,0.0
416,00648R,2021,0.0
417,00648R,2022,0.0
418,00648R,2023,0.0
419,00648R,2024,0.0
420,00650L,2013,0.0
421,00650L,2014,0.0
422,00650L,2015,0.0
423,00650L,2016,0.0
424,00650L,2017,0.0
425,00650L,2018,0.0
426,00650L,2019,0.0
427,00650L,2020,0.0
428,00650L,2021,0.0
429,00650L,2022,0.0
430,00650L,2023,0.0
431,00650L,2024,0.0
432,00651R,2013,0.0
433,00651R,2014,0.0
434,00651R,2015,0.0
435,00651R,2016,0.0
436,00651R,2017,0.0
437,00651R,2018,0.0
438,00651R,2019,0.0
439,00651R,2020,0.0
440,00651R,2021,0.0
441,00651R,2022,0.0
442,00651R,2023,0.0
443,00651R,2024,0.0
444,00652,2013,0.0
445,00652,2014,0.0
446,00652,2015,0.0
447,00652,2016,0.0
448,00652,2017,0.0
449,00652,2018,0.0
450,00652,2019,0.0
451,00652,2020,0.0
452,00652,2021,0.0
453,00652,2022,0.0
454,00652,2023,0.0
455,00652,2024,0.0
456,00653L,2013,0.0
457,00653L,2014,0.0
458,00653L,2015,0.0
459,00653L,2016,0.0
460,00653L,2017,0.0
461,00653L,2018,0.0
462,00653L,2019,0.0
463,00653L,2020,0.0
464,00653L,2021,0.0
465,00653L,2022,0.0
466,00653L,2023,0.0
467,00653L,2024,0.0
468,00654R,2013,0.0
469,00654R,2014,0.0
470,00654R,2015,0.0
471,00654R,2016,0.0
472,00654R,2017,0.0
473,00654R,2018,0.0
474,00654R,2019,0.0
475,00654R,2020,0.0
476,00654R,2021,0.0
477,00654R,2022,0.0
478,00654R,2023,0.0
479,00654R,2024,0.0
480,00655L,2013,0.0
481,00655L,2014,0.0
482,00655L,2015,0.0
483,00655L,2016,0.0
484,00655L,2017,0.0
485,00655L,2018,0.0
486,00655L,2019,0.0
487,00655L,2020,0.0
488,00655L,2021,0.0
489,00655L,2022,0.0
490,00655L,2023,0.0
491,00655L,2024,0.0
492,00656R,2013,0.0
493,00656R,2014,0.0
494,00656R,2015,0.0
495,00656R,2016,0.0
496,00656R,2017,0.0
497,00656R,2018,0.0
498,00656R,2019,0.0
499,00656R,2020,0.0
500,00656R,2021,0.0
501,00656R,2022,0.0
502,00656R,2023,0.0
503,00656R,2024,0.0
504,00657,2013,0.0
505,00657,2014,0.0
506,00657,2015,0.0
507,00657,2016,0.0
508,00657,2017,0.0
509,00657,2018,0.0
510,00657,2019,0.0
511,00657,2020,0.0
512,00657,2021,0.0
513,00657,2022,0.0
514,00657,2023,0.0
515,00657,2024,0.0
516,00657K,2013,0.0
517,00657K,2014,0.0
518,00657K,2015,0.0
519,00657K,2016,0.0
520,00657K,2017,0.0
521,00657K,2018,0.0
522,00657K,2019,0.75
523,00657K,2020,0.36
524,00657K,2021,0.0
525,00657K,2022,0.0
526,00657K,2023,0.0
527,00657K,2024,0.0
528,00660,2013,0.0
529,00660,2014,0.0
530,00660,2015,0.0
531,00660,2016,0.0
532,00660,2017,0.0
533,00660,2018,0.0
534,00660,2019,0.0
535,00660,2020,0.0
536,00660,2021,0.0
537,00660,2022,0.0
538,00660,2023,0.0
539,00660,2024,0.0
540,00661,2013,0.0
541,00661,2014,0.0
542,00661,2015,0.0
543,00661,2016,0.0
544,00661,2017,0.0
545,00661,2018,0.0
546,00661,2019,0.0
547,00661,2020,0.0
548,00661,2021,0.0
549,00661,2022,0.0
550,00661,2023,0.0
551,00661,2024,0.0
552,00662,2013,0.0
553,00662,2014,0.0
554,00662,2015,0.0
555,00662,2016,0.0
556,00662,2017,0.0
557,00662,2018,0.0
558,00662,2019,0.0
559,00662,2020,0.0
560,00662,2021,0.0
561,00662,2022,0.0
562,00662,2023,0.0
563,00662,2024,0.0
564,00663L,2013,0.0
565,00663L,2014,0.0
566,00663L,2015,0.0
567,00663L,2016,0.0
568,00663L,2017,0.0
569,00663L,2018,0.0
570,00663L,2019,0.0
571,00663L,2020,0.0
572,00663L,2021,0.0
573,00663L,2022,0.0
574,00663L,2023,0.0
575,00663L,2024,0.0
576,00664R,2013,0.0
577,00664R,2014,0.0
578,00664R,2015,0.0
579,00664R,2016,0.0
580,00664R,2017,0.0
581,00664R,2018,0.0
582,00664R,2019,0.0
583,00664R,2020,0.0
584,00664R,2021,0.0
585,00664R,2022,0.0
586,00664R,2023,0.0
587,00664R,2024,0.0
588,00665L,2013,0.0
589,00665L,2014,0.0
590,00665L,2015,0.0
591,00665L,2016,0.0
592,00665L,2017,0.0
593,00665L,2018,0.0
594,00665L,2019,0.0
595,00665L,2020,0.0
596,00665L,2021,0.0
597,00665L,2022,0.0
598,00665L,2023,0.0
599,00665L,2024,0.0
600,00666R,2013,0.0
601,00666R,2014,0.0
602,00666R,2015,0.0
603,00666R,2016,0.0
604,00666R,2017,0.0
605,00666R,2018,0.0
606,00666R,2019,0.0
607,00666R,2020,0.0
608,00666R,2021,0.0
609,00666R,2022,0.0
610,00666R,2023,0.0
611,00666R,2024,0.0
612,00668,2013,0.0
613,00668,2014,0.0
614,00668,2015,0.0
615,00668,2016,0.0
616,00668,2017,0.0
617,00668,2018,0.0
618,00668,2019,0.0
619,00668,2020,0.0
620,00668,2021,0.0
621,00668,2022,0.0
622,00668,2023,0.0
623,00668,2024,0.0
624,00668K,2013,0.0
625,00668K,2014,0.0
626,00668K,2015,0.0
627,00668K,2016,0.0
628,00668K,2017,0.0
629,00668K,2018,0.0
630,00668K,2019,0.0
631,00668K,2020,0.0
632,00668K,2021,0.0
633,00668K,2022,0.0
634,00668K,2023,0.0
635,00668K,2024,0.0
636,00669R,2013,0.0
637,00669R,2014,0.0
638,00669R,2015,0.0
639,00669R,2016,0.0
640,00669R,2017,0.0
641,00669R,2018,0.0
642,00669R,2019,0.0
643,00669R,2020,0.0
644,00669R,2021,0.0
645,00669R,2022,0.0
646,00669R,2023,0.0
647,00669R,2024,0.0
648,00670L,2013,0.0
649,00670L,2014,0.0
650,00670L,2015,0.0
651,00670L,2016,0.0
652,00670L,2017,0.0
653,00670L,2018,0.0
654,00670L,2019,0.0
655,00670L,2020,0.0
656,00670L,2021,0.0
657,00670L,2022,0.0
658,00670L,2023,0.0
659,00670L,2024,0.0
660,00671R,2013,0.0
661,00671R,2014,0.0
662,00671R,2015,0.0
663,00671R,2016,0.0
664,00671R,2017,0.0
665,00671R,2018,0.0
666,00671R,2019,0.0
667,00671R,2020,0.0
668,00671R,2021,0.0
669,00671R,2022,0.0
670,00671R,2023,0.0
671,00671R,2024,0.0
672,00673R,2013,0.0
673,00673R,2014,0.0
674,00673R,2015,0.0
675,00673R,2016,0.0
676,00673R,2017,0.0
677,00673R,2018,0.0
678,00673R,2019,0.0
679,00673R,2020,0.0
680,00673R,2021,0.0
681,00673R,2022,0.0
682,00673R,2023,0.0
683,00673R,2024,0.0
684,00674R,2013,0.0
685,00674R,2014,0.0
686,00674R,2015,0.0
687,00674R,2016,0.0
688,00674R,2017,0.0
689,00674R,2018,0.0
690,00674R,2019,0.0
691,00674R,2020,0.0
692,00674R,2021,0.0
693,00674R,2022,0.0
694,00674R,2023,0.0
695,00674R,2024,0.0
696,00675L,2013,0.0
697,00675L,2014,0.0
698,00675L,2015,0.0
699,00675L,2016,0.0
700,00675L,2017,0.0
701,00675L,2018,0.0
702,00675L,2019,0.0
703,00675L,2020,0.0
704,00675L,2021,0.0
705,00675L,2022,0.0
706,00675L,2023,0.0
707,00675L,2024,0.0
708,00676R,2013,0.0
709,00676R,2014,0.0
710,00676R,2015,0.0
711,00676R,2016,0.0
712,00676R,2017,0.0
713,00676R,2018,0.0
714,00676R,2019,0.0
715,00676R,2020,0.0
716,00676R,2021,0.0
717,00676R,2022,0.0
718,00676R,2023,0.0
719,00676R,2024,0.0
720,00678,2013,0.0
721,00678,2014,0.0
722,00678,2015,0.0
723,00678,2016,0.0
724,00678,2017,0.0
725,00678,2018,0.0
726,00678,2019,0.0
727,00678,2020,0.0
728,00678,2021,0.0
729,00678,2022,0.0
730,00678,2023,0.0
731,00678,2024,0.0
732,00679B,2013,0.0
733,00679B,2014,0.0
734,00679B,2015,0.0
735,00679B,2016,0.0
736,00679B,2017,0.0
737,00679B,2018,0.0
738,00679B,2019,0.0
739,00679B,2020,0.0
740,00679B,2021,0.0
741,00679B,2022,0.0
742,00679B,2023,0.0
743,00679B,2024,0.0
744,00680L,2013,0.0
745,00680L,2014,0.0
746,00680L,2015,0.0
747,00680L,2016,0.0
748,00680L,2017,0.0
749,00680L,2018,0.0
750,00680L,2019,0.0
751,00680L,2020,0.0
752,00680L,2021,0.0
753,00680L,2022,0.0
754,00680L,2023,0.0
755,00680L,2024,0.0
756,00681R,2013,0.0
757,00681R,2014,0.0
758,00681R,2015,0.0
759,00681R,2016,0.0
760,00681R,2017,0.0
761,00681R,2018,0.0
762,00681R,2019,0.0
763,00681R,2020,0.0
764,00681R,2021,0.0
765,00681R,2022,0.0
766,00681R,2023,0.0
767,00681R,2024,0.0
768,00682U,2013,0.0
769,00682U,2014,0.0
770,00682U,2015,0.0
771,00682U,2016,0.0
772,00682U,2017,0.0
773,00682U,2018,0.0
774,00682U,2019,0.0
775,00682U,2020,0.0
776,00682U,2021,0.0
777,00682U,2022,0.0
778,00682U,2023,0.0
779,00682U,2024,0.0
780,00683L,2013,0.0
781,00683L,2014,0.0
782,00683L,2015,0.0
783,00683L,2016,0.0
784,00683L,2017,0.0
785,00683L,2018,0.0
786,00683L,2019,0.0
787,00683L,2020,0.0
788,00683L,2021,0.0
789,00683L,2022,0.0
790,00683L,2023,0.0
791,00683L,2024,0.0
792,00684R,2013,0.0
793,00684R,2014,0.0
794,00684R,2015,0.0
795,00684R,2016,0.0
796,00684R,2017,0.0
797,00684R,2018,0.0
798,00684R,2019,0.0
799,00684R,2020,0.0
800,00684R,2021,0.0
801,00684R,2022,0.0
802,00684R,2023,0.0
803,00684R,2024,0.0
804,00685L,2013,0.0
805,00685L,2014,0.0
806,00685L,2015,0.0
807,00685L,2016,0.0
808,00685L,2017,0.0
809,00685L,2018,0.0
810,00685L,2019,0.0
811,00685L,2020,0.0
812,00685L,2021,0.0
813,00685L,2022,0.0
814,00685L,2023,0.0
815,00685L,2024,0.0
816,00686R,2013,0.0
817,00686R,2014,0.0
818,00686R,2015,0.0
819,00686R,2016,0.0
820,00686R,2017,0.0
821,00686R,2018,0.0
822,00686R,2019,0.0
823,00686R,2020,0.0
824,00686R,2021,0.0
825,00686R,2022,0.0
826,00686R,2023,0.0
827,00686R,2024,0.0
828,00687B,2013,0.0
829,00687B,2014,0.0
830,00687B,2015,0.0
831,00687B,2016,0.0
832,00687B,2017,0.81
833,00687B,2018,0.66
834,00687B,2019,1.12
835,00687B,2020,0.84
836,00687B,2021,0.84
837,00687B,2022,2.4
838,00687B,2023,2.5
839,00687B,2024,1.65
840,00688L,2013,0.0
841,00688L,2014,0.0
842,00688L,2015,0.0
843,00688L,2016,0.0
844,00688L,2017,1.14
845,00688L,2018,0.83
846,00688L,2019,0.79
847,00688L,2020,0.84
848,00688L,2021,1.97
849,00688L,2022,2.03
850,00688L,2023,1.79
851,00688L,2024,0.0
852,00689R,2013,0.0
853,00689R,2014,0.0
854,00689R,2015,0.0
855,00689R,2016,0.0
856,00689R,2017,0.0
857,00689R,2018,0.0
858,00689R,2019,0.0
859,00689R,2020,0.0
860,00689R,2021,0.0
861,00689R,2022,0.0
862,00689R,2023,0.0
863,00689R,2024,0.0
864,00690,2013,0.0
865,00690,2014,0.0
866,00690,2015,0.0
867,00690,2016,0.0
868,00690,2017,0.0
869,00690,2018,0.0
870,00690,2019,0.0
871,00690,2020,0.0
872,00690,2021,0.0
873,00690,2022,0.0
874,00690,2023,0.0
875,00690,2024,0.0
876,00692,2013,0.0
877,00692,2014,0.0
878,00692,2015,0.0
879,00692,2016,0.0
880,00692,2017,0.0
881,00692,2018,0.17
882,00692,2019,0.47
883,00692,2020,1.66
884,00692,2021,0.98
885,00692,2022,1.9
886,00692,2023,0.86
887,00692,2024,0.79
888,00693U,2013,0.0
889,00693U,2014,0.0
890,00693U,2015,0.0
891,00693U,2016,0.0
892,00693U,2017,0.0
893,00693U,2018,0.55
894,00693U,2019,0.73
895,00693U,2020,0.44
896,00693U,2021,0.46
897,00693U,2022,0.58
