StockID,StockName,Exchange,Category_code,Category,Reference,ShareCapital,Total_Shares,MarketCapital,Chairman,DayTrade
3047,訊舟,TSE,27,通訊網路業,19.05,2170000000.0,222300.0,4220000000.0,任冠生,Yes
3048,益登,TSE,29,電子通路業,24.5,2700000000.0,269800.0,6650000000.0,曾禹旖,Yes
3049,精金,TSE,26,光電業,8.17,8020000000.0,802000.0,6660000000.0,馬維欣,Yes
3050,鈺德,TSE,26,光電業,20.95,1550000000.0,155000.0,3530000000.0,葉垂景,Yes
3051,力特,TSE,26,光電業,33.45,1700000000.0,170000.0,5980000000.0,趙寄蓉,Yes
3052,夆典,TSE,14,建材營造,13.15,2310000000.0,230700.0,3070000000.0,郭國華,Yes
3054,立萬利,TSE,02,食品工業,20.25,834000000.0,83400.0,1690000000.0,陳立青,No
3055,蔚華科,TSE,29,電子通路業,77.0,1150000000.0,115000.0,8850000000.0,秦家騏,Yes
3056,富華新,TSE,14,建材營造,32.95,3420000000.0,342300.0,11600000000.0,劉偉如,Yes
3057,喬鼎,TSE,25,電腦及週邊設備業,12.9,927000000.0,92700.0,1230000000.0,李志恩,No
3058,立德,TSE,28,電子零組件,20.4,2020000000.0,202400.0,4270000000.0,包忠詒,No
3059,華晶科,TSE,26,光電業,39.95,2790000000.0,278800.0,12200000000.0,夏汝文,Yes
3060,銘異,TSE,25,電腦及週邊設備業,30.45,1380000000.0,137600.0,4600000000.0,謝錦興,Yes
3062,建漢,TSE,27,通訊網路業,22.85,3300000000.0,330200.0,7640000000.0,李廣益,Yes
3064,泰偉,OTC,32,文化創意業,58.1,130000000.0,13000.0,813000000.0,楊南平,No
3066,李洲,OTC,26,光電業,20.4,831000000.0,83100.0,1690000000.0,李明順,Yes
3067,全域,OTC,31,其他電子業,37.3,200000000.0,20000.0,745000000.0,鄒景文,No
3071,協禧,OTC,25,電腦及週邊設備業,33.9,1100000000.0,110000.0,3700000000.0,黃瑞益,Yes
3073,天方能源,OTC,35,綠能環保,34.5,321000000.0,32100.0,1110000000.0,甘正智,Yes
3078,僑威,OTC,28,電子零組件,75.2,2270000000.0,227400.0,17100000000.0,潘君威,Yes
3081,聯亞,OTC,27,通訊網路業,126.5,918000000.0,91800.0,11700000000.0,張景溢,Yes
3083,網龍,OTC,32,文化創意業,51.0,864000000.0,86500.0,4510000000.0,王俊博,Yes
3085,新零售,OTC,36,數位雲端,15.4,290000000.0,29000.0,435000000.0,劉兆生,No
3086,華義,OTC,32,文化創意業,126.0,236000000.0,23600.0,2950000000.0,施書凱,Yes
3088,艾訊,OTC,25,電腦及週邊設備業,87.3,1020000000.0,102000.0,8960000000.0,楊裕德,Yes
3090,日電貿,TSE,28,電子零組件,66.2,2130000000.0,212700.0,14300000000.0,周煒凌,Yes
3092,鴻碩,TSE,28,電子零組件,32.75,1070000000.0,106300.0,3510000000.0,張利榮,Yes
3093,港建*,OTC,31,其他電子業,30.4,363000000.0,145200.0,4410000000.0,何樹燦,Yes
3094,聯傑,TSE,24,半導體業,31.3,831000000.0,83100.0,2610000000.0,郝挺,Yes
3095,及成,OTC,27,通訊網路業,35.75,129000000.0,10000.0,339000000.0,張正寬,No
3097,拍檔,OES,25,電腦及週邊設備業,26.9,751000000.0,75100.0,2030000000.0,陳其宏,No
3105,穩懋,OTC,24,半導體業,139.5,4240000000.0,423900.0,60600000000.0,陳進財,Yes
3114,好德,OTC,28,電子零組件,28.85,651000000.0,65100.0,1880000000.0,陳國鴻,Yes
3115,富榮綱,OTC,28,電子零組件,10.3,437000000.0,43700.0,450000000.0,陳銘寬,No
3117,年程,OES,28,電子零組件,6.31,228000000.0,22800.0,148000000.0,薛維進,No
3118,進階,OTC,22,生技醫療,33.65,325000000.0,32500.0,1100000000.0,邱春龍,Yes
3122,笙泉,OTC,24,半導體業,39.35,401000000.0,40200.0,1590000000.0,溫國良,Yes
3128,昇銳,OTC,26,光電業,29.75,420000000.0,42000.0,1240000000.0,江添貴,Yes
3130,一零四,TSE,36,數位雲端,237.5,332000000.0,33200.0,7950000000.0,楊基寬,Yes
3131,弘塑,OTC,31,其他電子業,974.0,292000000.0,29200.0,29200000000.0,張鴻泰,Yes
3135,凌航,OES,24,半導體業,34.46,604000000.0,60400.0,2090000000.0,曾珍,No
3138,耀登,TSE,27,通訊網路業,127.5,503000000.0,50300.0,6490000000.0,張玉斌,Yes
3141,晶宏,OTC,24,半導體業,95.6,751000000.0,75100.0,7290000000.0,徐豫東,Yes
3147,大綜,OTC,30,資訊服務業,132.0,390000000.0,39000.0,5170000000.0,李志忠,Yes
3149,正達,TSE,26,光電業,23.45,1450000000.0,145300.0,3490000000.0,鍾志明,No
3150,鈺寶,OES,24,半導體業,49.78,419000000.0,41900.0,2070000000.0,羅森洲,No
3152,璟德,OTC,27,通訊網路業,222.0,690000000.0,69000.0,15500000000.0,郭建文,Yes
3158,嘉實,OES,30,資訊服務業,96.0,263000000.0,26300.0,2510000000.0,徐文伯,No
3162,精確,OTC,05,電機機械,33.0,1310000000.0,130600.0,4360000000.0,胡白莎,Yes
3163,波若威,OTC,27,通訊網路業,110.0,805000000.0,80500.0,8500000000.0,鄭萬來,Yes
3164,景岳,TSE,22,生技醫療,23.8,865000000.0,86400.0,2050000000.0,陳根德,Yes
3167,大量,TSE,05,電機機械,55.6,825000000.0,82500.0,4620000000.0,王作京,Yes
3168,眾福科,TSE,26,光電業,65.9,781000000.0,78100.0,5080000000.0,黃漢州,No
3169,亞信,OTC,24,半導體業,119.0,628000000.0,62800.0,7440000000.0,王春旗,Yes
3171,新洲,OTC,38,居家生活,29.8,713000000.0,71300.0,2120000000.0,李其政,Yes
3176,基亞,OTC,22,生技醫療,39.75,1390000000.0,139200.0,5530000000.0,張世忠,No
3178,公準,OTC,24,半導體業,107.0,450000000.0,45000.0,4980000000.0,蘇友欣,Yes
3184,微邦,OES,22,生技醫療,12.03,803000000.0,80300.0,979000000.0,李欣,No
3188,鑫龍騰,OTC,14,建材營造,30.2,1860000000.0,186300.0,5820000000.0,黃學藤,Yes
3189,景碩,TSE,24,半導體業,95.7,4540000000.0,454400.0,42900000000.0,廖賜政,Yes
3191,雲嘉南,OTC,28,電子零組件,20.8,436000000.0,43600.0,907000000.0,張瑞麟,No
3202,樺晟,OTC,28,電子零組件,13.9,1220000000.0,122000.0,1760000000.0,魏孝秦,No
3205,佰研,OTC,22,生技醫療,41.0,325000000.0,32500.0,1340000000.0,陳樂維,Yes
3206,志豐,OTC,28,電子零組件,48.9,589000000.0,58900.0,2890000000.0,張演堂,Yes
3207,耀勝,OTC,28,電子零組件,150.0,608000000.0,60800.0,9300000000.0,蘇浩熙,Yes
3209,全科,TSE,29,電子通路業,35.15,2320000000.0,232400.0,8260000000.0,吳堉文,Yes
3211,順達,OTC,25,電腦及週邊設備業,92.7,1510000000.0,151900.0,14100000000.0,鍾聰明,Yes
3213,茂訊,OTC,25,電腦及週邊設備業,101.0,587000000.0,58700.0,5960000000.0,沈頤同,Yes
3217,優群,OTC,28,電子零組件,162.5,901000000.0,90100.0,15000000000.0,王朝樑,Yes
3218,大學光,OTC,22,生技醫療,255.5,847000000.0,84700.0,21800000000.0,歐淑芳,Yes
3219,倚強科,OTC,31,其他電子業,40.05,707000000.0,70700.0,2860000000.0,張明杰,Yes
3221,台嘉碩,OTC,27,通訊網路業,28.65,1040000000.0,104000.0,3000000000.0,黃鈺同,Yes
3224,三顧,OTC,29,電子通路業,42.2,682000000.0,68200.0,2830000000.0,楊弘仁,Yes
3226,至寶電,OTC,05,電機機械,57.9,644000000.0,64400.0,3670000000.0,林崇鎰,Yes
3227,原相,OTC,24,半導體業,160.0,1470000000.0,146800.0,23100000000.0,黃森煌,Yes
3228,金麗科,OTC,24,半導體業,313.5,698000000.0,69800.0,24100000000.0,易建男,No
3229,晟鈦,TSE,28,電子零組件,15.45,643000000.0,64300.0,996000000.0,莊明理,No
3230,錦明,OTC,26,光電業,15.9,710000000.0,71000.0,1190000000.0,蔡翔峰,No
3231,緯創,TSE,25,電腦及週邊設備業,115.0,29000000000.0,2897000.0,324500000000.0,林憲銘,Yes
3232,昱捷,OTC,29,電子通路業,28.3,466000000.0,46600.0,1330000000.0,蔡棟國,Yes
3234,光環,OTC,27,通訊網路業,50.5,1110000000.0,111500.0,5570000000.0,劉勝先,No
3236,千如,OTC,28,電子零組件,21.2,1050000000.0,105000.0,2230000000.0,徐明恩,Yes
3252,海灣,OTC,16,觀光餐旅,21.5,502000000.0,50200.0,1090000000.0,劉至誠,Yes
3257,虹冠電,TSE,24,半導體業,61.7,800000000.0,80000.0,4980000000.0,方敏宗,Yes
3259,鑫創,OTC,24,半導體業,27.3,570000000.0,57000.0,1550000000.0,林俊宏,No
3260,威剛,OTC,24,半導體業,108.5,2960000000.0,296000.0,32600000000.0,陳立白,Yes
3264,欣銓,OTC,24,半導體業,72.7,4900000000.0,490200.0,36100000000.0,盧志遠,Yes
3265,台星科,OTC,24,半導體業,128.0,1360000000.0,136300.0,18000000000.0,黃興陽,Yes
3266,昇陽,TSE,14,建材營造,22.95,3520000000.0,352300.0,8240000000.0,麥寬成,Yes
3268,海德威,OTC,24,半導體業,26.1,334000000.0,34700.0,924000000.0,黃 (方方土) 芳,Yes
3272,東碩,OTC,25,電腦及週邊設備業,29.9,612000000.0,61200.0,1840000000.0,曹賜正,Yes
3276,宇環,OTC,28,電子零組件,18.1,697000000.0,69700.0,1270000000.0,徐正民,Yes
3284,太普高,OTC,20,其他,32.95,888000000.0,88800.0,2960000000.0,呂金發,Yes
3285,微端,OTC,31,其他電子業,26.15,427000000.0,42700.0,1110000000.0,魯景岱,Yes
3287,廣寰科,OTC,25,電腦及週邊設備業,51.7,440000000.0,44000.0,2160000000.0,王忠傑,Yes
3288,點晶,OTC,28,電子零組件,26.85,150000000.0,15000.0,406000000.0,金際遠,No
3289,宜特,OTC,31,其他電子業,128.0,740000000.0,74000.0,9400000000.0,余維斌,Yes
3290,東浦,OTC,28,電子零組件,26.7,1230000000.0,122500.0,3280000000.0,戴建樟,Yes
3293,鈊象,OTC,32,文化創意業,993.0,1410000000.0,140900.0,140600000000.0,李柯柱,Yes
3294,英濟,OTC,28,電子零組件,34.8,1320000000.0,132000.0,4630000000.0,徐文麟,Yes
3296,勝德,TSE,28,電子零組件,23.3,967000000.0,96700.0,2290000000.0,周義雄,Yes
3297,杭特,OTC,26,光電業,20.6,360000000.0,36000.0,739000000.0,鄭子釗,Yes
3303,岱稜,OTC,31,其他電子業,39.9,941000000.0,94100.0,3820000000.0,蔡國龍,Yes
3305,昇貿,TSE,31,其他電子業,65.9,1340000000.0,134200.0,9260000000.0,李三蓮,Yes
3306,鼎天,OTC,27,通訊網路業,58.2,506000000.0,50600.0,2890000000.0,蘇俊豪,Yes
3308,聯德,TSE,28,電子零組件,24.6,600000000.0,60000.0,1470000000.0,陳銘智,Yes
3310,佳穎,OTC,28,電子零組件,103.0,599000000.0,60000.0,6180000000.0,林坡圳,Yes
3311,閎暉,TSE,27,通訊網路業,39.4,680000000.0,68000.0,2680000000.0,焦佑衡,Yes
3312,弘憶股,TSE,29,電子通路業,47.3,1630000000.0,162600.0,7560000000.0,葉佳紋,Yes
3313,斐成,OTC,20,其他,20.9,1690000000.0,168800.0,3520000000.0,張祐銘,No
